iata_code,latitude_deg,longitude_deg,iso_region
LYT,-24.1129,152.7156,AU-QLD
GYZ,-28.034548,123.81506,AU-WA
AGW,-12.1456,142.149369,AU-QLD
AYD,-19.2908,136.078995,AU-NT
BYX,-13.1981,136.227005,AU-NT
COB,-15.54829979,130.9620056,AU-NT
CRJ,-31.89439964,132.2960052,AU-SA
CRY,-15.50189972,128.5339966,AU-WA
CSD,-17.94799995,135.9160004,AU-NT
DYM,-23.76169968,141.1450043,AU-QLD
HIS,-20.05999947,148.8809967,AU-QLD
HLV,-15.6857996,145.2149963,AU-QLD
KBD,-17.39780045,124.3550034,AU-WA
KGR,-25.8428,133.292007,AU-NT
PEP,-14.1442,130.091003,AU-NT
RDA,-18.95330048,135.201004,AU-NT
SSK,-19.16640091,128.173996,AU-WA
SWB,-21.51029968,119.3619995,AU-WA
TWP,-17.36330032,143.75,AU-QLD
ZVG,-17.7869,127.669998,AU-WA
AWR,-4.122278,144.853292,PG-MPM
AXF,38.748317,105.58416,CN-15
AXO,-8.244832,124.219108,ID-NT
AMF,-4.101111111,141.67,PG-ESW
UAE,-6.229978,144.664181,PG-JWK
AFR,-9.13867,148.390701,PG-NPP
AUP,-9.927715,149.389951,PG-MBA
ATP,-3.143611,142.346806,PG-SAN
AIH,-7.342777778,141.2675,PG-WPD
AMU,-3.586,141.2143333,PG-SAN
ADC,-7.137222222,145.7447222,PG-EHG
AIE,-5.145699978,144.7307003,PG-MPM
KPM,-5.381666667,143.9247222,PG-EPW
AUJ,-4.215666667,142.8231667,PG-ESW
AWB,-8.013414,142.752099,PG-WPD
AEK,-7.350805,146.193994,PG-MPL
AYU,-6.338055556,145.9041667,PG-EHG
VMU,-7.496955,144.821756,PG-GPK
BCP,-5.863611111,146.4925,PG-MPM
BNM,-9.107777778,147.6667222,PG-CPM
BMZ,-7.8485,143.2433,PG-WPD
BDZ,-6.347222222,146.9422222,PG-MPL
BSP,-8.858055556,141.2594444,PG-WPD
BWP,-3.021666667,141.1652778,PG-SAN
BUA,-5.422299,154.672698,PG-NSB
BAA,-5.330560207,151.0079956,PG-WBK
OPU,-8.050000191,142.9329987,PG-WPD
BMH,-6.373166667,144.637,PG-CPK
BPD,-7.743611111,147.0205556,PG-MPL
BPK,-5.526389,141.744583,PG-WPD
BRP,-7.6693,146.7594,PG-MPL
BUL,-7.216286671,146.6495419,PG-MPL
XBN,-9.6425,149.303889,PG-MBA
CVB,-4.80662,144.714996,PG-MPM
CGC,-5.455231,148.422289,PG-WBK
CMU,-6.024290085,144.970993,PG-CPK
SQT,-10.56277778,150.6906944,PG-MBA
DBP,-6.308611111,141.9055556,PG-WPD
DER,-6.144722222,147.1072222,PG-MPL
BNT,-5.742222222,145.2275,PG-MPM
MDM,-4.6204,143.4516,PG-ESW
KPF,-8.5336,142.5049,PG-WPD
DNU,-6.1546,146.6772,PG-MPL
DOI,-10.7009,150.7218,PG-MBA
DOO,-9.461855,147.920907,PG-CPM
DAU,-9.08676,143.207993,PG-WPD
KRU,-8.271612,147.071899,PG-CPM
EMS,-9.447,148.7628,PG-NPP
XYR,-3.883986,141.792234,PG-SAN
EMI,-1.653949991,149.9757667,PG-NIK
EFG,-9.153805556,147.6598056,PG-CPM
MHY,-8.714111111,141.6444444,PG-WPD
EPT,-5.0412,141.6779,PG-SAN
EGA,-6.9179,146.1053,PG-MPL
EMO,-9.1234,148.0415,PG-NPP
ERU,-8.2538,146.9747,PG-CPM
MFZ,-6.1364,149.1183,PG-WBK
BOT,-7.237257,141.1063222,PG-WPD
ERE,-6.606463154,143.9002132,PG-SHM
SWE,-6.284181,147.582371,PG-MPL
FNE,-8.549277778,147.0858333,PG-CPM
FRQ,-5.208,141.6988,PG-SAN
FIN,-6.621750109,147.85405,PG-MPL
FAQ,-4.610468,141.960138,PG-ESW
FUM,-6.3933,142.4408,PG-WPD
GKA,-6.081689835,145.3919983,PG-EHG
GEW,-9.2263,148.4949,PG-NPP
GUG,-8.1286,146.8722,PG-CPM
GRL,-7.980713,147.213461,PG-MPL
GAR,-7.875625,147.141266,PG-MPL
GAZ,-9.225918,152.944352,PG-MBA
GOE,-5.527716614,151.5733333,PG-EBR
GUR,-10.3114996,150.3339996,PG-MBA
GAP,-6.053196,145.959047,PG-MPL
PNP,-8.80453968,148.3090057,PG-NPP
GBC,-6.1028,141.7393,PG-WPD
GMI,-6.271110058,150.3309937,PG-WBK
AKG,-3.560504,142.217307,PG-SAN
GVI,-3.902242899,141.170517,PG-SAN
GOC,-9.0021,148.2364,PG-NPP
HBD,-6.32,142.4893,PG-WPD
HNI,-7.4223,146.4276,PG-MPL
HYF,-3.69838,143.057902,PG-ESW
HNN,-6.2457,142.1771,PG-WPD
HKN,-5.463846,150.407327,PG-WBK
HIT,-6.9406,143.059,PG-GPK
HWA,-7.392994,146.003487,PG-GPK
IIS,-4.499720097,154.2259979,PG-NSB
IDN,-6.22663,147.244,PG-MPL
IMN,-6.7524,146.1072,PG-MPL
KGM,-5.671,141.03,PG-WPD
IMD,-3.328,141.1573,PG-SAN
KIE,-6.305417,155.728139,PG-NSB
IAL,-6.2782,143.9944,PG-SHM
WSA,-8.2836,142.8697,PG-WPD
WIU,-4.689522,149.440112,PG-WBK
MPX,-4.903055556,141.6208333,PG-SAN
KGH,-8.5289,147.4603,PG-CPM
JOP,-4.747083333,145.0070833,PG-MPM
LSA,-8.505820274,151.0809937,PG-MBA
KBM,-6.155472222,147.1914722,PG-MPL
KDR,-6.19217,149.54783,PG-WBK
KMF,-7.64925,145.9569444,PG-GPK
KPA,-5.3883,142.4977,PG-HLA
KAQ,-8.150694444,146.834,PG-CPM
UNG,-6.125710011,141.2819977,PG-WPD
KNE,-5.2903,144.7072,PG-MPM
KRI,-7.42438,144.250076,PG-GPK
KMA,-7.963610172,145.7709961,PG-GPK
KKD,-8.884679,147.730957,PG-NPP
KGW,-9.135916667,147.6694444,PG-CPM
KRX,-4.557,145.9404,PG-MPM
KZF,-7.50025,146.0338333,PG-GPK
KUQ,-7.135083,143.276111,PG-GPK
KVG,-2.579400063,150.8079987,PG-NIK
KWO,-7.977006912,142.8235779,PG-WPD
LNV,-3.043610096,152.6289978,PG-NIK
LAB,-5.7204,148.0566,PG-MPL
KEG,-5.832777778,145.0972222,PG-CPK
KII,-9.006528,142.698056,PG-WPD
LGN,-5.531944444,149.7341667,PG-WBK
LNM,-7.223138889,146.2270833,PG-MPL
LWI,-6.3344,146.6458,PG-MPL
LPN,-6.3917,146.3434,PG-MPL
LNG,-8.2799,146.2765,PG-GPK
LNC,-6.384611111,147.3686389,PG-MPL
