51-sequence,47-sequence,36-sequence
51,47,36
51,47,36
351,472,361
3451,4572,3561
34571,45672,34561
345712,345672,345671
345671,3456712,3456712
3456771,3456771,3456771
34456771,34456771,34456771
3445567711,3445567711,3445567711
